ID_REF	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
10338280	1623.2	1514.44375	1467.7	1482.5	1497.3	1456.3	1415.3	1417.9	1420.5	1362.8	1305.1	1332.692605	1362.5	1364.868348	1367.3	1403.010923	1457	1505.228125	1532.9	1526.45	1520	1572.481619	1642.7	1676.518381
10338315	1248.6	1176.512642	1111.6	1047.791055	1001.8	982.4313123	968.9	953.8399911	945.6	956.7	967.8	959.6	951.4	1008.2	1065	1063.35	1061.7	1177.597304	1302.6	1317.002696	1322.3	1306.818581	1275.3	1231.067317
10340929	1015.7	913.0384898	857.8	846.1532054	837	820.4759864	799.4	765.7760684	743.4	745.7	748	735.55	723.1	791.7359238	886.2	936.9140762	961.8	957	952.2	979.35	1006.5	1005.85102	1004.1	995.7808232
10341681	1641.8	1551.274083	1499.7	1486.559037	1473.5	1400.4588	1337.9	1337.15183	1336.9	1389.45	1442	1375.2	1308.4	1393.228702	1526.1	1636.121298	1698.1	1659.65395	1606.9	1578.89605	1565.2	1603.3	1641.4	1637.450461
10343612	2060.1	1847.15	1752.9	1766.9	1780.9	1759.4	1737.9	1741.159878	1747.9	1757.820225	1770.8	1783.897193	1801.3	1830.443345	1876.4	1995.229358	2086.4	2085.05	2083.7	2173.47335	2267.4	2273.82665	2276.1	2238.508694
10344495	1303.3	1207.894289	1157.6	1145.574461	1141	1173.9	1206.8	1176.25	1145.7	1163.35	1181	1172.35	1163.7	1184.170125	1231.3	1370.829875	1483.7	1414.55	1345.4	1359.258103	1382.6	1406.691897	1421.3	1396.45941
10345065	1832.4	1756.436831	1675.6	1581.500322	1498.7	1443.337826	1406.7	1391.536059	1375.9	1315.345211	1266.8	1271.908395	1285	1334.504642	1415.1	1514.437882	1610.8	1668.929221	1725.2	1826.642769	1895.8	1898.77709	1899.8	1894.95804
10346298	361	336.03125	327.7	341.6583162	360.9	371.2916838	376.4	324.65	272.9	281.5621072	303.6	406.0951021	511.6	539.2427906	550.5	542.1331333	524.9	499.2362862	467.2	427.2805805	402.6	406.25	409.9	373.55
10350753	1599.6	1723.414848	1809.9	1868.597652	1896.6	1684.05	1471.5	1651.05	1830.6	1752	1673.4	1839.536247	2007.6	2009.576033	2011.5	2044.509466	2109.6	2236.928254	2330.3	2235.872167	2093.2	2011.770959	1930.5	1788.856874
10353450	777.4	774.0288501	766.4	751.7777345	728.7	690.0683945	650.6	630.9896638	609.1	534.4353571	475.6	570.9892465	677.7	690.8116139	703.2	759.3748927	828.8	879.1742469	905.7	858.6	811.5	835.35	859.2	843.8409586
10354868	626.1	639.05	643.2	637.355803	624.1	588.8563721	557.9	554.4658805	551	512.3719444	476.9	516.75	556.6	549.7937931	542.7	542.2562069	542.1	600.95	659.8	625.05	590.3	596.0026448	606.5	620.6473552
10354897	924.4	964.9875	977.8	946.8	915.8	919.5	923.2	892.2	861.2	865.2144213	874.1	892.9457745	913.9	925.5494428	935.4	944.7447474	955.4	977.145614	992.4	964.55	936.7	953.2	969.7	969.23125
10356406	163	147.4152754	138.4	134.9284746	133.5	133.6849593	134.2	138.9140603	145.8	150.9199459	154.6	156.012516	157.4	160.394709	165.4	179.7238095	191	186.4174468	178.9	172.9899061	167.5	162.9039374	158.5	153.9237317
10357676	418	420.3881181	422.7	425.4681319	427.1	414.8	402.5	406.05	409.6	403.35	397.1	422.55	448	440.05	432.1	432.4629973	433.5	451.9870027	469.8	465.3729167	457.3	446.7270833	439.8	441.3
10358894	1153.6	977.8935061	897.8	897.5495279	897.3	853.7757159	810.5	922.863941	1065.8	1121.286059	1146.2	1114.65	1083.1	1139.743116	1235.4	1318.061732	1395.4	1470.445152	1511.8	1432.990749	1345.9	1336.870968	1327.5	1210.519516
