ID_REF,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
10338280,754,842.8736058,922,1010.688724,1061.3,966,906.9,933.03125,942.3,927.95,913.6,999.35,1085.1,961.15,837.2,888.5,939.8,802.75,665.7,745.95,826.2,679.05,531.9,619.0376698
10338315,4228.244053,4430.9,4365.396998,4270.5,4222.626357,4177.7,4125.340281,3862.9,3641.943134,3503.5,3442.989114,3402,3371.984078,3335.7,3194.789924,3080.2,3105.283445,3160.8,3281.348473,3409.4,3461.580736,3518.6,3681.493293,3913.6
10340929,2526.6,2613.297625,2683.8,2692.283919,2699.7,2729.97596,2754.1,2693.282074,2641,2563.353113,2456.3,2266.703137,2135.7,2199.7,2263.7,2139.55,2015.4,2027.1,2038.8,2033,2027.2,2229.102118,2459.9,2495.990379
10341681,3911.384398,3846.1,3818.59667,3807.1,3838.5,3869.9,3856.15,3842.4,4055.094481,4353,4523.505519,4608.8,4439.5,4270.2,4422.65,4575.1,4569.4,4563.7,4684.65,4596.7,4561.360273,4479.4,4260.85866,4024.8
10343612,5804.273898,5708.5,5615.282352,5564.7,5574.75,5584.8,5305.75,5026.7,5038.696073,5071.1,5283.975368,5576.7,5758.998033,5909,6057.980526,6139,6124.35,6109.7,6265.424133,6474.6,6576.925867,6625.8,6552.234332,5918
10344495,3649.3,3592.133473,3883.9,3651.431255,3442.6,3217.762495,3090.8,3181.2,3271.6,3105.4,2939.2,2942.511516,2952,3132.338484,3306.5,3232.25,3158,3194.291878,3270.7,3388.661615,3549.2,3794.146507,3956.4,3822.756687
10345065,8831.460841,9038,9294.191556,9465.7,9482.970693,9482.7,9478.576591,9468.9,9449.225349,9412,9277.49806,9166.1,9231,9295.9,9102.807701,8824.4,8648.042299,8557,8747.35,8937.7,8701.6,8465.5,8530.980934,8660.8
10346298,527.6828383,492,469.7421617,459.4,463.1,466.8,382.15,297.5,320.4474563,377.8,567.3517796,858.7,1240.950764,1487,1341.742976,1156.5,1099.718242,1051,970.0949427,889.3,835.4174401,784.4,719.4109472,580.6
10350753,5853.209616,5766.5,5605.661627,5498.7,5780.526418,6147.5,6305.523582,6378.4,6286.25,6194.1,6466.25,6738.4,6689.7,6641,6756.2,6871.4,6741.09321,6578.2,6531.518027,6494.4,6452.631336,6319.5,6104.916257,5946.8
10353450,356.1,366.6,377.1,356.3,335.5,352.15,368.8,296.45,224.1,288.3270303,384.6,435.3700698,491.3,632.4308179,737.2,738.472082,551.2,601.64375,621.4,605.4076372,586.5,583.2391944,579.5,466.1031684
10354868,1258.525469,1050,1043.30126,1028.5,991.54874,962.7,994.35,1026,991.65,957.3,999.45,1041.6,1023.7,1005.8,1159.2,1312.6,1221.9,1131.2,1289.35,1447.5,1281.75,1116,1118.324531,1125
10354897,727.9,645.5,563.1,701.8,840.5,749.1,657.7,658.1518587,659.4,672.3981413,583.2,577.8823902,567.3,542.7426098,524,570.8,617.6,552.45,487.3,507.0196274,538.2,556.6470041,579.9,662.0333685
10356406,503.1,531,467.8,497.9,448.1086144,423.4,420.6362719,418.6,415.4513879,410.2,381.6349758,356.7,399.7,442.7,416.75,390.8,460.55,530.3,510.1,489.9,530.75,571.6,523.4,475.2
10357676,1585.735566,1704.7,1671.780441,1625.6,1607.683615,1585.7,1451.432185,1310.4,1230.580536,1191.3,1187.562974,1184.4,1173.671569,1160.1,1149.07037,1139.8,1131.914551,1127.8,1131.639962,1141.4,1174.989994,1232.9,1309.484479,1411.3
10358894,13696.2,13183.8,12619.7,12565.76694,12471.8,12291.88963,12123.2,12064.6532,12017,11934.14647,11881.1,12035,12188.9,12085.05,11981.2,12500.8,13020.4,12703.45,12386.5,12697.34227,13095.5,13219.42537,13327.2,13547.28236
