,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52
PF3D7_0420700,6.070653944,3.398509614,2.25522,1.584505081,1.641893333,2.15044,1.455058519,1.237736678,1.2849085,1.506451731,1.628989115,1.8438175,4.175603814,8.464418274,9.93394,8.339762222,8.509680745,11.1734,12.05451081,14.21019935,19.154,24.20203872,22.98905205,15.5172,14.47474762,13.09337466,10.60526
PF3D7_0600400,5.238138915,2.955121739,1.854422,1.702044887,1.492504176,1.252355,1.265085212,1.310440919,1.383919,1.34258182,1.358853492,1.514993,2.304222924,4.743744594,6.05997,6.047258889,6.285613052,7.16449,7.43323725,8.124013356,10.53736,23.5742956,23.18726124,10.08715,9.604643715,9.090622101,8.1906
PF3D7_0115700,3.89818511,2.297401727,1.612625,1.438936535,1.468402037,1.627545,1.273527963,1.214397426,1.3138705,1.411493881,1.450835978,1.462817,2.177596096,3.940443545,4.84734,5.388358206,6.911511932,9.46333,9.564864524,10.41513246,13.7944,18.06343272,17.95191403,13.5149,11.27716552,9.097421149,6.74479
PF3D7_0314300,4.38984424,7.610592908,10.43613,10.85939989,9.915682963,7.04592,9.417845926,9.082555648,6.92107,5.902138904,4.946424652,4.071685,3.149407271,1.938640205,1.609747,1.464334502,1.332407722,1.229902,1.400941825,1.480008162,1.493376,1.512304267,1.58437776,1.829088,2.405559468,2.504177037,2.33134
PF3D7_1372200,3730.859294,1572.464457,580.405,306.7947946,271.7231111,291.732,110.1268148,61.45994823,104.9252,116.562194,163.7891817,287.453,492.8179083,1721.831594,3236.48,3527.234577,4219.752379,5307.61,5243.484074,5695.045169,8308.02,14330.10594,13514.41556,6420.46,7622.334074,7852.209973,6730.9
PF3D7_1353200,622.4593111,277.8972265,140.679,69.00074856,63.01890741,81.5175,36.02742593,25.50855036,41.4919,77.02630711,139.3148037,235.489,369.0471333,1062.247083,1474.85,1508.959892,1752.054877,2321.34,2259.480741,2600.45321,3936.05,4575.343087,4313.674085,3104.63,2953.434773,2501.575856,1383.3
PF3D7_0936000,644.0019532,290.4348632,101.768,52.09813822,51.21034074,70.3656,27.15078519,12.88170649,29.6614,59.48461939,127.0443058,251.3395,433.4984159,1371.867962,1864.07,1863.188519,1990.824444,2356.38,2120.557778,2095.414899,2455.35,3930.611027,3901.19264,2355.06,2102.377115,1750.229809,1182
PF3D7_1424100,2061.531663,1754.630533,1456.66,1451.913161,1528.055926,1747.33,991.4249886,510.1856564,336.3965,287.2208257,295.4772791,367.089,558.7436758,1394.692506,1917.89,1919.337384,1974.446792,2126.35,2065.875926,2108.79844,2456.88,3213.539338,3093.442222,2158.62,2476.264444,2531.572791,2279.39
PF3D7_1434800,278.932872,402.0339535,570.844,509.9247407,518.3288889,603.26,242.4133333,130.236,134.34615,121.7643417,91.83758536,52.11265,54.05842282,30.39187003,26.9361,22.79341388,21.93462069,22.3332,25.94659591,32.11244487,41.9808,67.26202306,89.74479696,108.611,154.6837446,195.1653928,228.044
PF3D7_1015600,257.6390049,335.8945322,400.832,317.8237216,265.0668582,242.939,111.0549017,76.52852593,77.23485,68.15890618,55.49015147,43.83345,42.60874641,20.4100803,18.085,15.21173628,15.17226091,17.7027,19.35096779,22.9868556,32.2186,54.14099706,68.09845831,76.2451,109.4743893,150.3259265,194.525
PF3D7_1434700,263.0554282,288.7477462,302.656,234.0078519,211.5842593,216.165,98.75255556,70.23196296,81.3776,63.40119325,51.37831982,42.8412,38.82665301,26.27689705,25.6931,17.53655881,18.65014493,33.9588,42.55478653,53.61638428,68.4722,84.96798861,90.74476555,92.5587,138.6749088,188.6262098,226.75
PF3D7_1416900,171.8647091,226.4699182,287.522,285.8012593,285.7424074,287.295,144.7604815,101.555963,112.678,89.1228562,74.40595425,68.36845,49.43768439,45.57424444,46.2798,37.32587407,35.49551715,40.5738,42.83716616,48.81713817,58.2989,58.39173648,60.67636282,67.6959,68.71328357,83.32588683,138.113
PF3D7_0902600,67.51998202,34.58314186,21.3483,14.01157721,10.82473993,9.14424,5.679051114,4.422728238,4.051115,4.404189206,4.646741448,4.65077,6.396212909,11.38268922,17.3153,27.88731932,33.46380217,36.182,46.27042862,58.19041297,70.1837,83.94086541,99.84385837,112.705,104.7687037,104.6867778,112.389
PF3D7_0816600,77.10248033,92.30975082,110.516,107.3322963,110.0845926,121.132,61.46302766,39.17198859,34.6014,29.47299593,25.95505803,23.4337,18.89219265,11.85022762,9.47905,8.373244089,7.702038825,7.33708,7.62899795,8.565059976,11.2426,18.13852125,25.04606376,31.9476,59.08671418,68.87861025,70.2467
PF3D7_0933200,49.84870182,77.98273194,108.456,106.0693333,108.1714074,116.564,87.88362963,78.21294815,67.04945,66.82568718,59.79306607,44.84175,36.75253807,20.99655896,17.4665,16.07842882,14.50657586,12.7077,11.69348601,11.74150711,12.7499,13.37281954,15.79220599,20.3759,20.49713802,22.78513261,33.9298
PF3D7_1041300,7.446988218,4.267829712,2.61495,1.764826868,1.714210778,1.995053,1.522976704,1.385700387,1.5914435,1.911932572,2.003763346,2.0990845,4.513225826,9.042478414,10.30948,10.82699411,13.20230674,18.4062,18.85605168,20.04231802,24.5258,49.07827264,48.73542265,23.3994,19.93747707,16.6127303,12.4682
PF3D7_0900100,6.634711485,3.996760858,2.88275,1.840102536,1.788995556,2.24894,1.615477778,1.444270349,1.613513,1.91532763,2.060718058,2.304836,4.57345419,9.054872799,9.86991,9.766606296,10.75619011,14.4783,15.72766428,17.58440476,20.9479,27.1606964,26.52305914,18.7026,16.42007714,14.21097773,11.457
