ID_REF	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
10338280	815.5	708.3375	670.6	718.8950124	791.3	843.5049876	871.6	832.5288046	768.6	715.1447042	672.5	645.6264912	632.8	657.2	681.6	630.6	579.6	644.8173531	735.8	787.1326469	812.7	794.45	776.2	795.4625245
10338315	1539.9	1447.89375	1406.3	1407.55	1408.8	1395.932133	1365.2	1257.317867	1167.3	1231.152229	1321.4	1360.178312	1401.7	1506.874746	1614.2	1663.741539	1702.9	1752.903173	1782	1689.1	1596.2	1613.05	1629.9	1576.75
10340929	1083	1041.833927	997.3	935.9285734	897.6	912.15	926.7	907.9072539	879.9	860.0927461	849.5	878.8896462	935.3	1013.671184	1081.3	1102.693793	1123.2	1188.895377	1239.2	1200.6	1162	1178.966527	1208.5	1242.133473
10341681	2053	1740.86875	1606.3	1646.5	1686.7	1681.308661	1670.9	1660.492166	1643.4	1558.999174	1486.3	1535.822422	1617.7	1677.909511	1745.2	1868.318068	1952	1940.75	1929.5	1931.625752	1937.6	2016.874248	2092.3	2079.817584
10343612	3066.4	2740.749868	2592.5	2592.125132	2592	2714.7	2837.4	2524.5	2211.6	2282	2352.4	2339.3	2326.2	2447.451142	2625.4	2736.845804	2808	2829.289475	2848	2899.71358	2937.6	2884.65	2831.7	2872.9
10344495	1477.8	1424.37937	1367	1303.357046	1239.8	1169.938585	1129.6	1249.55	1369.5	1333.4	1297.3	1311.270426	1345.6	1477.537862	1605	1624.328445	1641.2	1687.413017	1745.2	1805.85025	1841.5	1789.899194	1707.5	1642.720344
10345065	1392.1	1386.388574	1377	1357.805176	1343.8	1343.925691	1344.3	1389.374309	1434.2	1343.714279	1240.2	1224.180804	1210.1	1162.404917	1125.8	1157.298096	1215.4	1292.45082	1346.4	1350.059738	1353.8	1468.591345	1579.8	1495.45
10346298	587.3	531.9691219	500.1	490.2052278	483.1	474.7160326	465.5	454.248421	440.6	417.6236967	402.2	490.1515368	622.8	711.493318	773.1	804.9051452	819.1	764.85	710.6	748.9	787.2	689.7029383	589.2	586.0701817
10350753	3907	3389.49375	3160.3	3193.5	3226.7	3094.95	2963.2	2971.435132	2994.8	3359.014868	3708.1	3595.779012	3479.5	3473.420988	3471.3	3555.456958	3685	3756.63993	3842.8	4121.603112	4340.5	4142.116768	3928.5	3912.005234
10353450	100.3	105.88125	107.4	103.6694362	96.2	83.66323312	73.7	71.86375925	71.1	70.95357143	70.9	72.49264069	76.1	84.59373149	94	98.34469125	102.7	113.2189366	120.8	119.5	118.2	122.8	127.4	121.7
10354868	981.5	918.6625	892.3	904.4	916.5	901.15	885.8	894.5	903.2	889.65	876.1	904.05	932	927.5	923	937.9438202	962.9	988.0061798	1003.1	996.8234375	987.5	982.3083382	977.5	972.858026
